Date,T (degC)
2009-01-01,-6.854782608695655
2009-01-02,-3.731249999999999
2009-01-03,-5.284583333333333
2009-01-04,-1.3812500000000003
2009-01-05,-4.673749999999999
2009-01-06,-15.283750000000005
2009-01-07,-15.888750000000002
2009-01-08,-9.504166666666668
2009-01-09,-12.216250000000002
2009-01-10,-10.745
2009-01-11,-8.654166666666667
2009-01-12,-5.4070833333333335
2009-01-13,-1.6379166666666662
2009-01-14,-4.7558333333333325
2009-01-15,0.05333333333333329
2009-01-16,-2.8320833333333333
2009-01-17,-0.01666666666666657
2009-01-18,2.54375
2009-01-19,2.52625
2009-01-20,3.3158333333333334
2009-01-21,-1.5658333333333332
2009-01-22,-1.1412499999999997
2009-01-23,1.3795833333333334
2009-01-24,2.6779166666666665
2009-01-25,0.9758333333333332
2009-01-26,-3.325
2009-01-27,-1.335
2009-01-28,-2.46875
2009-01-29,-2.3841666666666668
2009-01-30,-2.3966666666666665
2009-01-31,-1.9975000000000005
2009-02-01,-3.364583333333333
2009-02-02,-0.7679166666666662
2009-02-03,0.045000000000000116
2009-02-04,-1.0595833333333329
2009-02-05,1.8808333333333327
2009-02-06,2.575416666666666
2009-02-07,1.3879166666666665
2009-02-08,1.143333333333333
2009-02-09,-0.21291666666666675
2009-02-10,2.459166666666667
2009-02-11,0.3133333333333334
2009-02-12,-1.3658333333333332
2009-02-13,-1.3833333333333335
2009-02-14,-3.5362500000000003
2009-02-15,-4.338333333333333
2009-02-16,0.13625
2009-02-17,-2.317916666666666
2009-02-18,-4.084583333333334
2009-02-19,-4.6970833333333335
2009-02-20,0.1908333333333334
2009-02-21,1.0941666666666667
2009-02-22,1.8766666666666667
2009-02-23,2.485416666666667
2009-02-24,-0.3445833333333333
2009-02-25,1.3808333333333334
2009-02-26,3.932500000000001
2009-02-27,4.830000000000001
2009-02-28,6.5808333333333335
2009-03-01,5.4625
2009-03-02,5.444583333333334
2009-03-03,3.994166666666667
2009-03-04,4.53
2009-03-05,2.1375
2009-03-06,3.9837499999999992
2009-03-07,1.7808333333333328
2009-03-08,2.7016666666666667
2009-03-09,3.8837500000000014
2009-03-10,3.6341666666666654
2009-03-11,2.934166666666666
2009-03-12,2.925416666666667
2009-03-13,6.6062499999999975
2009-03-14,5.199583333333333
2009-03-15,6.2
2009-03-16,6.166666666666668
2009-03-17,6.408333333333332
2009-03-18,3.9020833333333336
2009-03-19,2.674166666666667
2009-03-20,0.10833333333333336
2009-03-21,1.6479166666666665
2009-03-22,3.75625
2009-03-23,5.822916666666668
2009-03-24,1.3004166666666666
2009-03-25,-0.2645833333333333
2009-03-26,4.185833333333334
2009-03-27,5.96
2009-03-28,5.303333333333332
2009-03-29,5.8275000000000015
2009-03-30,4.7
2009-03-31,4.617916666666667
2009-04-01,7.185416666666666
2009-04-02,10.6
2009-04-03,12.878333333333332
2009-04-04,13.406249999999998
2009-04-05,11.066250000000002
2009-04-06,11.965000000000002
2009-04-07,12.784166666666666
2009-04-08,12.822500000000005
2009-04-09,12.522499999999996
2009-04-10,14.1325
2009-04-11,15.230833333333333
2009-04-12,14.115833333333333
2009-04-13,12.77708333333333
2009-04-14,13.642083333333336
2009-04-15,14.835
2009-04-16,14.795
2009-04-17,8.161666666666667
2009-04-18,7.446249999999999
2009-04-19,10.514999999999997
2009-04-20,10.866666666666667
2009-04-21,11.115000000000002
2009-04-22,8.466666666666667
2009-04-23,6.4525000000000015
2009-04-24,9.775416666666667
2009-04-25,14.35125
2009-04-26,13.899166666666673
2009-04-27,15.712916666666667
2009-04-28,13.157499999999995
2009-04-29,9.349166666666664
2009-04-30,12.261250000000002
2009-05-01,12.69375
2009-05-02,12.87208333333333
2009-05-03,13.223333333333334
2009-05-04,8.220833333333331
2009-05-05,6.726250000000001
2009-05-06,10.52875
2009-05-07,14.182083333333333
2009-05-08,13.282916666666665
2009-05-09,13.048333333333332
2009-05-10,13.995416666666666
2009-05-11,10.529166666666667
2009-05-12,10.827916666666667
2009-05-13,11.80833333333333
2009-05-14,12.254583333333334
2009-05-15,14.519583333333333
2009-05-16,13.106249999999998
2009-05-17,15.739583333333336
2009-05-18,15.606666666666666
2009-05-19,15.44791666666667
2009-05-20,16.82708333333333
2009-05-21,16.897916666666664
2009-05-22,13.473749999999995
2009-05-23,13.294583333333335
2009-05-24,18.57875
2009-05-25,18.539166666666674
2009-05-26,19.980416666666667
2009-05-27,12.915416666666665
2009-05-28,11.952083333333333
2009-05-29,11.187083333333332
2009-05-30,10.652083333333335
2009-05-31,13.564583333333333
2009-06-01,15.17125
2009-06-02,17.48333333333333
2009-06-03,11.037916666666666
2009-06-04,9.352916666666664
2009-06-05,9.37375
2009-06-06,8.038750000000002
2009-06-07,11.964166666666666
2009-06-08,14.48833333333333
2009-06-09,14.80625
2009-06-10,14.369999999999996
2009-06-11,13.382083333333332
2009-06-12,11.154583333333333
2009-06-13,13.362916666666665
2009-06-14,16.022916666666664
2009-06-15,16.284166666666664
2009-06-16,12.774166666666664
2009-06-17,14.314166666666665
2009-06-18,17.25208333333333
2009-06-19,16.037499999999998
2009-06-20,13.433750000000002
2009-06-21,11.824583333333335
2009-06-22,11.723333333333334
2009-06-23,13.875000000000002
2009-06-24,16.04833333333333
2009-06-25,14.507083333333332
2009-06-26,17.31833333333334
2009-06-27,16.372916666666665
2009-06-28,17.35125
2009-06-29,18.001666666666665
2009-06-30,20.132083333333327
2009-07-01,20.150833333333328
2009-07-02,21.139166666666668
2009-07-03,21.82666666666667
2009-07-04,21.31875
2009-07-05,20.656250000000004
2009-07-06,17.575
2009-07-07,15.934166666666668
2009-07-08,14.799583333333333
2009-07-09,14.729583333333332
2009-07-10,12.745416666666667
2009-07-11,12.470833333333333
2009-07-12,15.968333333333335
2009-07-13,20.16
2009-07-14,19.924583333333327
2009-07-15,20.387916666666666
2009-07-16,20.91875
2009-07-17,19.888749999999995
2009-07-18,15.132083333333336
2009-07-19,14.967083333333335
2009-07-20,15.347499999999998
2009-07-21,18.415416666666665
2009-07-22,21.61125
2009-07-23,20.741250000000004
2009-07-24,16.724166666666665
2009-07-25,15.105833333333333
2009-07-26,16.624166666666667
2009-07-27,20.295416666666668
2009-07-28,18.898750000000003
2009-07-29,19.22708333333333
2009-07-30,18.810416666666665
2009-07-31,15.674583333333333
2009-08-01,18.786250000000006
2009-08-02,19.992916666666673
2009-08-03,17.259166666666662
2009-08-04,17.21625
2009-08-05,17.99791666666666
2009-08-06,19.774583333333336
2009-08-07,21.37583333333333
2009-08-08,21.223333333333333
2009-08-09,19.9975
2009-08-10,18.74708333333333
2009-08-11,18.143333333333327
2009-08-12,17.940416666666668
2009-08-13,17.23
2009-08-14,15.893333333333334
2009-08-15,18.997916666666665
2009-08-16,21.977083333333336
2009-08-17,21.595416666666665
2009-08-18,18.7425
2009-08-19,20.050833333333333
2009-08-20,25.26958333333333
2009-08-21,19.81125
2009-08-22,15.9925
2009-08-23,16.062500000000004
2009-08-24,19.2975
2009-08-25,20.433333333333334
2009-08-26,19.395416666666666
2009-08-27,20.348333333333333
2009-08-28,20.08
2009-08-29,15.249166666666662
2009-08-30,13.657083333333334
2009-08-31,16.771666666666665
2009-09-01,21.297916666666666
2009-09-02,18.96583333333333
2009-09-03,16.28833333333333
2009-09-04,14.119583333333333
2009-09-05,12.369166666666665
2009-09-06,12.479166666666664
2009-09-07,14.597083333333332
2009-09-08,16.744583333333335
2009-09-09,17.459583333333338
2009-09-10,15.002083333333333
2009-09-11,15.214583333333335
2009-09-12,13.88791666666667
2009-09-13,11.163333333333336
2009-09-14,10.845416666666667
2009-09-15,13.905833333333335
2009-09-16,14.755833333333333
2009-09-17,13.935416666666667
2009-09-18,14.34083333333333
2009-09-19,14.98958333333333
2009-09-20,16.459166666666665
2009-09-21,15.060000000000002
2009-09-22,16.047083333333333
2009-09-23,15.639583333333334
2009-09-24,13.442083333333334
2009-09-25,10.938333333333334
2009-09-26,10.791666666666664
2009-09-27,11.517083333333332
2009-09-28,11.895833333333336
2009-09-29,14.014583333333333
2009-09-30,10.83375
2009-10-01,11.972500000000002
2009-10-02,8.849583333333333
2009-10-03,10.623333333333333
2009-10-04,11.86
2009-10-05,10.337083333333332
2009-10-06,14.53
2009-10-07,18.511250000000004
2009-10-08,15.517500000000005
2009-10-09,8.079166666666667
2009-10-10,10.083749999999998
2009-10-11,10.519166666666663
2009-10-12,6.7004166666666665
2009-10-13,4.591666666666666
2009-10-14,2.3804166666666657
2009-10-15,1.2366666666666666
2009-10-16,3.861666666666667
2009-10-17,3.9475
2009-10-18,3.932916666666667
2009-10-19,2.92375
2009-10-20,1.2979166666666664
2009-10-21,2.4766666666666666
2009-10-22,2.5658333333333334
2009-10-23,6.4562500000000025
2009-10-24,7.485833333333335
2009-10-25,9.280416666666666
2009-10-26,8.079166666666667
2009-10-27,10.455000000000002
2009-10-28,9.500416666666666
2009-10-29,8.711249999999998
2009-10-30,6.2387500000000005
2009-10-31,1.4799999999999998
2009-11-01,3.1841666666666666
2009-11-02,6.385833333333334
2009-11-03,5.784166666666668
2009-11-04,5.355833333333333
2009-11-05,6.101250000000001
2009-11-06,6.309583333333332
2009-11-07,4.527499999999999
2009-11-08,4.156666666666666
2009-11-09,3.5558333333333336
2009-11-10,4.190833333333333
2009-11-11,5.290416666666668
2009-11-12,4.584583333333334
2009-11-13,8.443333333333333
2009-11-14,10.042083333333336
2009-11-15,9.71875
2009-11-16,7.313333333333333
2009-11-17,9.426666666666668
2009-11-18,8.274583333333332
2009-11-19,9.17
2009-11-20,8.062083333333335
2009-11-21,9.103333333333332
2009-11-22,10.59
2009-11-23,9.03125
2009-11-24,9.5725
2009-11-25,10.929166666666665
2009-11-26,8.024166666666664
2009-11-27,7.138750000000001
2009-11-28,6.878333333333334
2009-11-29,8.699583333333335
2009-11-30,5.050833333333332
2009-12-01,3.695416666666667
2009-12-02,0.9058333333333334
2009-12-03,3.9266666666666654
2009-12-04,2.8262500000000004
2009-12-05,0.8858333333333334
2009-12-06,6.225833333333332
2009-12-07,5.077916666666667
2009-12-08,5.6395833333333325
2009-12-09,4.602083333333334
2009-12-10,4.020416666666666
2009-12-11,1.4270833333333333
2009-12-12,-0.02999999999999999
2009-12-13,-2.920833333333333
2009-12-14,-3.68625
2009-12-15,-2.4479166666666656
2009-12-16,-3.8208333333333337
2009-12-17,-7.008333333333334
2009-12-18,-10.71125
2009-12-19,-15.980833333333335
2009-12-20,-12.224166666666674
2009-12-21,-3.262916666666667
2009-12-22,3.18375
2009-12-23,-0.06583333333333329
2009-12-24,-0.2491666666666668
2009-12-25,3.658333333333333
2009-12-26,1.9812500000000004
2009-12-27,-0.5691666666666668
2009-12-28,2.0283333333333338
2009-12-29,-2.224166666666667
2009-12-30,1.10875
2009-12-31,-1.2775
2010-01-01,-3.8025
2010-01-02,-5.096666666666667
2010-01-03,-4.704166666666668
2010-01-04,-6.140416666666668
2010-01-05,-10.345416666666667
2010-01-06,-8.991249999999997
2010-01-07,-8.369583333333333
2010-01-08,-9.716666666666667
2010-01-09,-5.32
2010-01-10,-5.181666666666668
2010-01-11,-6.7225
2010-01-12,-6.840833333333332
2010-01-13,-9.43583333333333
2010-01-14,-2.34125
2010-01-15,-2.105833333333333
2010-01-16,-2.714166666666668
2010-01-17,-0.0795833333333335
