Date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),Wx,Wy,max Wx,max Wy
2009-01-01,999.18,-6.854782608695655,266.3678260869564,-8.072608695652173,90.9913043478261,3.678695652173913,3.3413043478260875,0.3378260869565217,2.081304347826087,3.342173913043478,1305.45,-0.361632645229108,-0.09757587148024252,-0.6822529664179333,-0.1889276698613429
2009-01-02,999.5491666666667,-3.731249999999999,269.4633333333333,-4.825,92.10833333333332,4.638750000000001,4.267499999999999,0.3720833333333333,2.6591666666666662,4.2683333333333335,1290.3029166666668,0.4748807769928201,0.4137926392767721,0.7406980341080674,0.6288795733157346
2009-01-03,998.7166666666666,-5.284583333333333,267.97625000000005,-9.013333333333334,76.58874999999998,4.1800000000000015,3.1095833333333336,1.0691666666666666,1.939166666666667,3.1133333333333333,1297.3908333333334,-0.5735258099157182,-0.5220873197252486,-1.0557344268305744,-0.9478145811288806
2009-01-04,988.6391666666667,-1.3812500000000003,272.67,-2.98,88.95,5.521666666666667,4.91125,0.6095833333333335,3.09625,4.96875,1264.83875,-1.0992989061356957,-0.9605545107311221,-2.3145463258187418,-1.8892516450553087
2009-01-05,990.1783333333333,-4.673749999999999,269.2516666666666,-6.564999999999999,86.54583333333332,4.416666666666667,3.8658333333333332,0.5508333333333333,2.435416666666667,3.908333333333333,1283.09875,2.7409742983718623,0.3431347655014583,3.951868983560107,0.17762150526968315
2009-01-06,997.09375,-15.283750000000005,258.09083333333336,-17.43708333333333,83.62083333333334,1.88625,1.56375,0.3225000000000001,0.9766666666666668,1.569583333333333,1346.27125,0.645904904178906,-0.0047690790857211895,1.0448761642660416,-0.01816811486311808
2009-01-07,993.4304166666667,-15.888750000000002,257.75666666666666,-17.713749999999994,85.61666666666666,1.9629166666666669,1.7054166666666666,0.25875,1.0683333333333334,1.71375,1344.9941666666666,-0.5302670110141501,0.20666710652131895,-1.0400939837409742,0.416976031702015
2009-01-08,1002.8916666666664,-9.504166666666668,263.4370833333333,-11.232083333333335,87.40833333333335,3.0341666666666667,2.6162500000000004,0.4175,1.6241666666666663,2.608333333333333,1323.9299999999996,-0.6628811752489531,0.0963177643978,-1.099460978492137,0.17580488251588955
2009-01-09,1003.1245833333336,-12.216250000000002,260.71124999999995,-14.534166666666666,83.5620833333333,2.5091666666666663,2.0204166666666663,0.4908333333333334,1.2525,2.012916666666667,1338.4862499999995,-0.541222001710692,0.05602305741449628,-1.007199115371518,0.1700357626420945
2009-01-10,1002.99625,-10.745,262.1920833333333,-13.359583333333333,81.99291666666669,2.827916666666667,2.225,0.6050000000000001,1.3808333333333334,2.2175,1330.7283333333332,-0.6384356391156816,-0.007270547105498255,-1.1984893112039643,0.024759516754134767
2009-01-11,1003.9916666666667,-8.654166666666667,264.20458333333335,-11.10125,83.35875,3.3075,2.652083333333333,0.6554166666666668,1.6449999999999998,2.641666666666667,1321.2400000000002,-1.20795881047389,0.13797714249375567,-2.063205924881545,0.26961271410496285
